Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country_Region,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,CoGS
CA-2018-159625,2018-10-27,2018-11-02,Standard Class,SM-20005,Sally Matthias,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002621,Office Supplies,Envelopes,Staple envelope,23.472000000000001,3,0.20000000000000001,8.8019999999999996,14.670000000000002
CA-2020-144337,2018-10-27,2018-11-02,Second Class,SG-20890,Susan Gilcrest,Corporate,United States,Amarillo,Texas,79109,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,19.648,2,0.20000000000000001,6.6311999999999998,13.0168
CA-2018-117478,2015-07-09,2015-07-14,First Class,LH-16750,Larry Hughes,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000050,Office Supplies,Binders,Angle-D Binders with Locking Rings, Label Holders,6.5700000000000003,3,0.69999999999999996,-5.0369999999999999,11.606999999999999
CA-2021-147410,2015-07-09,2015-07-14,Standard Class,EJ-14155,Eva Jacobs,Consumer,United States,Santa Ana,California,92704,West,OFF-ST-10003805,Office Supplies,Storage,24 Capacity Maxi Data Binder Racks, Pearl,421.10000000000002,2,0,105.27500000000001,315.82500000000005
CA-2021-128944,2015-07-09,2015-07-14,Second Class,KH-16330,Katharine Harms,Corporate,United States,Newark,Ohio,43055,East,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,760.11599999999999,6,0.29999999999999999,-43.435200000000002,803.55119999999999
CA-2021-128944,2015-07-09,2015-07-14,Second Class,KH-16330,Katharine Harms,Corporate,United States,Newark,Ohio,43055,East,FUR-FU-10004909,Furniture,Furnishings,Contemporary Wood/Metal Frame,38.783999999999999,3,0.20000000000000001,7.2719999999999896,31.512000000000008
CA-2021-128944,2018-05-22,2018-05-26,Second Class,KH-16330,Katharine Harms,Corporate,United States,Newark,Ohio,43055,East,TEC-AC-10001553,Technology,Accessories,Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack,122.328,9,0.20000000000000001,1.5290999999999999,120.7989
CA-2020-109666,2018-05-22,2018-05-26,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,TEC-PH-10004774,Technology,Phones,Gear Head AU3700S Headset,25.98,2,0,0.77939999999999898,25.200600000000001
CA-2020-109666,2017-11-10,2017-11-14,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters,3.2799999999999998,2,0,1.476,1.8039999999999998
CA-2020-109666,2017-11-10,2017-11-14,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,459.88,4,0,13.7964,446.08359999999999
CA-2020-109666,2017-12-02,2017-12-06,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-SU-10002522,Office Supplies,Supplies,Acme Kleen Earth Office Shears,7.7599999999999998,2,0,2.2504,5.5095999999999998
CA-2020-109666,2018-03-02,2018-03-08,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,71.959999999999994,2,0,17.989999999999998,53.969999999999999
CA-2020-109666,2018-09-23,2018-09-25,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,54.899999999999999,5,0,15.372,39.527999999999999
CA-2020-109666,2018-09-23,2018-09-25,Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,10035,East,OFF-BI-10000174,Office Supplies,Binders,Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear,9.2799999999999994,2,0.20000000000000001,3.2480000000000002,6.0319999999999991
US-2020-102239,2015-02-11,2015-02-15,First Class,LW-16990,Lindsay Williams,Corporate,United States,Henderson,Nevada,89015,West,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,1685.8800000000001,6,0,320.31720000000001,1365.5628000000002
US-2020-102239,2015-02-11,2015-02-15,First Class,LW-16990,Lindsay Williams,Corporate,United States,Henderson,Nevada,89015,West,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,5.7279999999999998,2,0.20000000000000001,2.0047999999999999,3.7231999999999998
CA-2018-143168,2015-02-11,2015-02-15,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,98103,West,OFF-PA-10000167,Office Supplies,Paper,Xerox 1925,61.960000000000001,2,0,27.882000000000001,34.078000000000003
CA-2018-143168,2015-02-11,2015-02-15,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,1.3440000000000001,1,0.20000000000000001,0.47039999999999998,0.87360000000000015
CA-2021-104906,2015-02-11,2015-02-15,Standard Class,JP-15460,Jennifer Patt,Corporate,United States,New York City,New York,10009,East,OFF-PA-10001184,Office Supplies,Paper,Xerox 1903,17.940000000000001,3,0,8.7905999999999995,9.1494000000000018
CA-2021-118122,2015-02-11,2015-02-15,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10002103,Office Supplies,Binders,Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl,13.904,2,0.20000000000000001,4.5187999999999997,9.3852000000000011
US-2018-147774,2018-11-11,2018-11-14,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194000000000003,1,0.69999999999999996,-51.5154,118.7094
CA-2021-166926,2018-09-02,2018-09-02,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Seattle,Washington,98105,West,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,41.859999999999999,7,0,18.837,23.023
CA-2021-166926,2016-10-09,2016-10-13,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Seattle,Washington,98105,West,FUR-BO-10002598,Furniture,Bookcases,Hon Metal Bookcases, Putty,141.96000000000001,2,0,41.168399999999998,100.79160000000002
CA-2019-128013,2016-10-09,2016-10-13,Standard Class,MF-18250,Monica Federle,Corporate,United States,New York City,New York,10035,East,FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,10.02,3,0,4.4088000000000003,5.6111999999999993
CA-2019-128013,2018-11-24,2018-12-01,Standard Class,MF-18250,Monica Federle,Corporate,United States,New York City,New York,10035,East,OFF-PA-10001815,Office Supplies,Paper,Xerox 1885,144.12,3,0,69.177599999999998,74.942400000000006
CA-2020-123176,2018-11-24,2018-12-01,Second Class,JG-15160,James Galang,Consumer,United States,Atlanta,Georgia,30318,South,OFF-PA-10003971,Office Supplies,Paper,Xerox 1965,17.940000000000001,3,0,8.7905999999999995,9.1494000000000018
CA-2020-123176,2015-02-08,2015-02-09,Second Class,JG-15160,James Galang,Consumer,United States,Atlanta,Georgia,30318,South,OFF-AR-10004685,Office Supplies,Art,Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set,13.890000000000001,3,0,4.5837000000000003,9.3063000000000002
US-2020-117541,2016-09-25,2016-09-25,Standard Class,JM-16195,Justin MacKendrick,Consumer,United States,Newark,Delaware,19711,East,OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,16.449999999999999,5,0,7.5670000000000002,8.8829999999999991
US-2020-117541,2016-09-25,2016-09-25,Standard Class,JM-16195,Justin MacKendrick,Consumer,United States,Newark,Delaware,19711,East,FUR-FU-10000550,Furniture,Furnishings,Stacking Trays by OIC,19.920000000000002,4,0,6.5735999999999999,13.346400000000003
CA-2020-166282,2018-08-21,2018-08-28,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Nashville,Tennessee,37211,South,TEC-AC-10004209,Technology,Accessories,Memorex Froggy Flash Drive 4 GB,35.167999999999999,4,0.20000000000000001,8.3523999999999994,26.8156
CA-2020-166282,2018-08-21,2018-08-28,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Nashville,Tennessee,37211,South,OFF-PA-10003022,Office Supplies,Paper,Standard Line “While You Were Out” Hardbound Telephone Message Book,123.08799999999999,7,0.20000000000000001,40.003599999999999,83.084399999999988
CA-2021-141439,2017-05-12,2017-05-17,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Richmond,Indiana,47374,Central,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,257.94,3,0,67.064400000000006,190.87559999999999
CA-2021-141439,2017-05-12,2017-05-17,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Richmond,Indiana,47374,Central,TEC-PH-10002624,Technology,Phones,Samsung Galaxy S4 Mini,1879.96,4,0,545.1884,1334.7716
CA-2021-141439,2018-09-02,2018-09-06,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Richmond,Indiana,47374,Central,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,27.460000000000001,2,0,9.8856000000000002,17.574400000000001
CA-2021-141439,2015-10-10,2015-10-10,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Richmond,Indiana,47374,Central,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,89.980000000000004,2,0,43.190399999999997,46.789600000000007
CA-2021-141439,2017-05-26,2017-05-29,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Richmond,Indiana,47374,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,828.60000000000002,3,0,240.29400000000001,588.30600000000004
